Load Time (ms),Sample Time (ms),Sample Runs,Sample Throughput (tokens/second),Prefill Time (ms),Prefill Tokens,Prefill Throughput (tokens/second),Decode Time (ms),Decode Runs,Decode Throughput (tokens/second),Total Time (ms),Total Tokens,model
213.85,49.69,500,10062.18,347.02,14.0,40.34,45639.53,499.0,9.990000000000002,47094.44,513.0,Yi
213.85,48.19,500,10375.81,365.91,23.0,57.39125,45987.74,499.0,9.990000000000002,47432.61,522.0,Yi
213.85,47.17,500,10599.06,267.86,21.0,57.39125,45971.1,499.0,9.990000000000002,47299.59,520.0,Yi
213.85,48.94,500,10216.8,158.9,8.0,50.35,45600.47,499.0,9.990000000000002,46846.75,507.0,Yi
213.85,46.81,500,10681.02,183.87,8.0,43.51,45637.54,499.0,9.990000000000002,46868.97,507.0,Yi
213.85,48.39,500,10332.71,333.99,19.0,56.89,45777.61,499.0,9.990000000000002,47198.26,518.0,Yi
213.85,48.25,500,10362.91,656.19,64.0,57.39125,46888.35,499.0,9.990000000000002,48607.16,563.0,Yi
213.85,49.46,500,10109.59,214.33,9.0,41.99,45599.95,499.0,9.990000000000002,46887.7,508.0,Yi
213.85,47.89,500,10441.47,217.2,17.0,57.39125,45790.14,499.0,9.990000000000002,47080.75,516.0,Yi
213.85,50.45,500,9910.41,310.48,11.0,35.43,45673.65,499.0,9.990000000000002,47105.88,510.0,Yi
213.85,49.46,500,10109.38,787.31,67.0,57.39125,46898.51,499.0,9.990000000000002,48773.59,566.0,Yi
213.85,47.35,500,10558.77,922.15,73.0,57.39125,47244.75,499.0,9.990000000000002,49209.97,584.0,Yi
213.85,45.09,500,11089.67,251.66,7.0,27.82,45578.62,499.0,9.990000000000002,46845.11,506.0,Yi
213.85,49.11,500,10181.85,316.93,25.0,57.39125,45941.04,499.0,9.990000000000002,47375.25,524.0,Yi
213.85,45.47,500,10996.02,792.39,70.0,57.39125,46920.89,499.0,9.990000000000002,48734.04,569.0,Yi
213.85,49.52,500,10096.32,247.84,12.0,48.42,45726.89,499.0,9.990000000000002,47082.37,511.0,Yi
213.85,48.76,500,10253.68,208.66,17.0,57.39125,45820.59,499.0,9.990000000000002,47088.55,516.0,Yi
213.85,48.62,500,10284.26,343.71,28.0,57.39125,46040.56,499.0,9.990000000000002,47451.31,527.0,Yi
213.85,47.61,500,10501.55,429.97,40.0,57.39125,46341.06,499.0,9.990000000000002,47819.61,539.0,Yi
213.85,46.2,500,10822.75,668.35,58.0,57.39125,46673.75,499.0,9.990000000000002,48392.95,557.0,Yi
213.85,49.34,500,10133.35,217.03,20.0,57.39125,45815.32,499.0,9.990000000000002,47126.16,519.0,Yi
213.85,53.38,500,9366.63,320.15,11.0,34.36,45662.71,499.0,9.990000000000002,47107.34,510.0,Yi
213.85,46.11,500,10843.63,551.38,50.0,57.39125,46515.67,499.0,9.990000000000002,48082.06,549.0,Yi
213.85,48.88,500,10230.18,160.26,16.0,57.39125,45773.34,499.0,9.990000000000002,47048.62,515.0,Yi
213.85,47.31,500,10568.37,921.72,73.0,57.39125,46971.81,499.0,9.990000000000002,48949.97,577.0,Yi
213.85,46.57,500,10736.99,240.06,9.0,37.49,45716.55,499.0,9.990000000000002,47007.69,508.0,Yi
213.85,46.33,500,10793.31,219.15,9.0,41.07,45641.53,499.0,9.990000000000002,46914.34,508.0,Yi
213.85,49.7,500,10061.17,159.84,16.0,57.39125,45757.42,499.0,9.990000000000002,47047.18,515.0,Yi
213.85,48.22,500,10370.0,275.87,24.0,57.39125,45912.16,499.0,9.990000000000002,47270.59,523.0,Yi
213.85,46.3,500,10798.9,214.68,9.0,41.92,45759.82,499.0,9.990000000000002,47013.06,508.0,Yi
213.85,48.49,500,10312.26,208.11,6.0,28.83,45609.05,499.0,9.990000000000002,46882.53,505.0,Yi
